web-scraper-order,web-scraper-start-url,dulich,dulich-href
"1705399771-1","https://nhandan.vn/du-lich/","Thủ tướng yêu cầu nâng cao hiệu quả công tác thống kê để đánh giá, hoạch định chính sách phát triển du lịch","https://nhandan.vn/thu-tuong-yeu-cau-nang-cao-hieu-qua-cong-tac-thong-ke-de-danh-gia-hoach-dinh-chinh-sach-phat-trien-du-lich-post792276.html#792276|zone-highlight-1257|0"
"1705399771-2","https://nhandan.vn/du-lich/","Ninh Bình phát triển các sản phẩm cho thị trường quà lưu niệm, quà tặng du lịch","https://nhandan.vn/ninh-binh-phat-trien-cac-san-pham-cho-thi-truong-qua-luu-niem-qua-tang-du-lich-post792130.html#792130|zone-highlight-1257|0"
"1705399771-3","https://nhandan.vn/du-lich/","Đông đảo người dân Thành phố Hồ Chí Minh đến thưởng thức món ngon Quảng Ngãi","https://nhandan.vn/dong-dao-nguoi-dan-thanh-pho-ho-chi-minh-den-thuong-thuc-mon-ngon-quang-ngai-post791879.html#791879|zone-highlight-1257|1"
"1705399771-4","https://nhandan.vn/du-lich/","Nhiều đường bay dịp Tết Nguyên đán “cháy vé”","https://nhandan.vn/nhieu-duong-bay-dip-tet-nguyen-dan-chay-ve-post791906.html"
"1705399771-5","https://nhandan.vn/du-lich/","Điểm sáng du lịch nông nghiệp, nông thôn","https://nhandan.vn/diem-sang-du-lich-nong-nghiep-nong-thon-post791885.html"
"1705399771-6","https://nhandan.vn/du-lich/","Vietjet mở đường bay thẳng Hà Nội - Điện Biên","https://nhandan.vn/vietjet-mo-duong-bay-thang-ha-noi-dien-bien-post791826.html"
"1705399771-7","https://nhandan.vn/du-lich/","Hà Nội, Vịnh Hạ Long, Hội An đứng top đầu các Giải thưởng của Tripadvisor 2024","https://nhandan.vn/ha-noi-vinh-ha-long-hoi-an-dung-top-dau-cac-giai-thuong-cua-tripadvisor-2024-post791810.html"
"1705399771-8","https://nhandan.vn/du-lich/","Rực rỡ hoa anh đào trên đảo hoa Pá Khoang","https://nhandan.vn/ruc-ro-hoa-anh-dao-tren-dao-hoa-pa-khoang-post791735.html"
"1705399771-9","https://nhandan.vn/du-lich/","Nhiều hoạt động đón Xuân Giáp Thìn tại khu du lịch Núi Thần Tài Đà Nẵng","https://nhandan.vn/nhieu-hoat-dong-don-xuan-giap-thin-tai-khu-du-lich-nui-than-tai-da-nang-post791611.html"
"1705399771-10","https://nhandan.vn/du-lich/","Phở bò Việt Nam vào danh sách 20 món ăn có nước ngon nhất thế giới","https://nhandan.vn/cnn-pho-bo-viet-nam-vao-danh-sach-20-mon-an-co-nuoc-ngon-nhat-the-gioi-post791596.html"
